Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Chironominae,Polypedilum,Glacier Creek,Wood,mg dry mass m-2,0.97,1.81,0.3
Diptera,Chironominae,Stempellinella,Glacier Creek,Wood,mg dry mass m-2,0.03,0.07,< 0.01
Diptera,Diamesinae,Diamesia,Glacier Creek,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Diamesinae,Pagastia,Glacier Creek,Wood,mg dry mass m-2,15.61,35.11,3.35
Diptera,Empidiae,Empididae group,Glacier Creek,Wood,mg dry mass m-2,0.85,1.27,0.34
Diptera,N/A,Diamesinae/Prodiamesinae group,Glacier Creek,Wood,mg dry mass m-2,2.81,4.92,1.06
Diptera,Orthocladinae,Brillia,Glacier Creek,Wood,mg dry mass m-2,1.35,3.64,< 0.01
Diptera,Orthocladinae,Heterotrissocladius,Glacier Creek,Wood,mg dry mass m-2,0.54,1.6,< 0.01
Diptera,Orthocladinae,Krenosmittia,Glacier Creek,Wood,mg dry mass m-2,0.02,0.04,< 0.01
Diptera,Orthocladinae,Orthocladinae group,Glacier Creek,Wood,mg dry mass m-2,87.52,150.63,38.75
Diptera,Orthocladinae,Theinemanniella,Glacier Creek,Wood,mg dry mass m-2,13.12,27.39,3.29
Diptera,Simulidae,Simulidae group,Glacier Creek,Wood,mg dry mass m-2,2.62,7.29,0.13
Diptera,Tanypodinae,Tanypodinae group,Glacier Creek,Wood,mg dry mass m-2,0.98,2.08,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,Glacier Creek,Wood,mg dry mass m-2,8.71,15.16,1.82
Ephemeroptera,Ameletidae,Ameletus,Glacier Creek,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,Glacier Creek,Wood,mg dry mass m-2,2.29,4.45,0.31
Ephemeroptera,Ephemerellidae,Drunella,Glacier Creek,Wood,mg dry mass m-2,0.13,0.39,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,Glacier Creek,Wood,mg dry mass m-2,1.2,2.78,0.02
Mollusca,Sphaeriidae,Sphaeriidae,Glacier Creek,Wood,mg dry mass m-2,0.01,0.04,< 0.01
Oligochaeta,N/A,Oligochaeta,Glacier Creek,Wood,mg dry mass m-2,0.88,2.05,0.1
Ostracoda,N/A,Ostracoda,Glacier Creek,Wood,mg dry mass m-2,0.11,0.32,< 0.01
Plecoptera,Chloroperlidae,Suwallia,Glacier Creek,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Plecoptera,Chloroperlidae,Swelsta,Glacier Creek,Wood,mg dry mass m-2,0.7,2.08,< 0.01
Plecoptera,N/A,Plecoptera group,Glacier Creek,Wood,mg dry mass m-2,243.55,567.21,0.46
Plecoptera,Nemouridae,Zapada,Glacier Creek,Wood,mg dry mass m-2,2.64,6.9,0.14
Tricoptera,Hydropsychidae,Arctopsyche,Glacier Creek,Wood,mg dry mass m-2,37.97,115.44,< 0.01
Tricoptera,N/A,Tricoptera group,Glacier Creek,Wood,mg dry mass m-2,0.25,0.63,0.02
Tricoptera,Rhyacophilidae,Rhyacophila,Glacier Creek,Wood,mg dry mass m-2,5.65,12.63,0.31
Arachnida ,N/A,Arachnida ,North St. Vrain confine,Riffle,mg dry mass m-2,0.01,0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain confine,Riffle,mg dry mass m-2,65.9,135.72,23.32
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain confine,Riffle,mg dry mass m-2,0.17,0.33,0.02
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain confine,Riffle,mg dry mass m-2,3.22,8.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain confine,Riffle,mg dry mass m-2,1.6,3.45,0.4
Diptera,Chironominae,Chironominae group,North St. Vrain confine,Riffle,mg dry mass m-2,12.31,23.05,4.18
Diptera,Chironominae,Stempellinella,North St. Vrain confine,Riffle,mg dry mass m-2,1.64,2.65,0.76
Diptera,Diamesinae,Diamesinae group,North St. Vrain confine,Riffle,mg dry mass m-2,5.21,8.62,2.16
Diptera,Diamesinae,Pagastia,North St. Vrain confine,Riffle,mg dry mass m-2,6.12,9.22,3.01
Diptera,Empidiae,Empididae group,North St. Vrain confine,Riffle,mg dry mass m-2,3.97,8.79,1.03
Diptera,Empidiae,Hemerodromia,North St. Vrain confine,Riffle,mg dry mass m-2,7.26,10.29,4.26
