Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Arachnida ,N/A,Arachnida ,South Fork Pourde,Wood,mg dry mass m-2,0.03,0.07,< 0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Wood,mg dry mass m-2,24.22,40.18,9.54
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Wood,mg dry mass m-2,0.01,0.04,< 0.01
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Wood,mg dry mass m-2,2.32,4.38,0.96
Diptera,Chironomidae,Chironomidae group 2,South Fork Pourde,Wood,mg dry mass m-2,1.3,3.85,< 0.01
Diptera,Chironominae,Chironominae group,South Fork Pourde,Wood,mg dry mass m-2,0.94,1.92,0.3
Diptera,Chironominae,Microspectra,South Fork Pourde,Wood,mg dry mass m-2,0.33,0.65,0.02
Diptera,Chironominae,Paratendipes,South Fork Pourde,Wood,mg dry mass m-2,0.67,2.08,< 0.01
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,South Fork Pourde,Wood,mg dry mass m-2,10.27,18.54,3.01
Diptera,Diamesinae,Pagastia,South Fork Pourde,Wood,mg dry mass m-2,22.2,37,7.88
Diptera,Empidiae,Chelifera,South Fork Pourde,Wood,mg dry mass m-2,9.59,15.15,4.6
Diptera,Empidiae,Empididae group,South Fork Pourde,Wood,mg dry mass m-2,0.55,1.48,0.04
Diptera,N/A,Diamesinae/Prodiamesinae group,South Fork Pourde,Wood,mg dry mass m-2,0.31,0.89,< 0.01
Diptera,Orthocladinae,Complex II,South Fork Pourde,Wood,mg dry mass m-2,24.04,39.19,10.82
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Wood,mg dry mass m-2,2.16,5.12,0.2
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Wood,mg dry mass m-2,40.58,67.42,15.74
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Wood,mg dry mass m-2,1.4,2.58,0.24
Diptera,Simulidae,Simulium,South Fork Pourde,Wood,mg dry mass m-2,97.7,280.07,1.23
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Wood,mg dry mass m-2,0.38,0.67,0.13
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Wood,mg dry mass m-2,1.62,2.56,0.66
Diptera,Tipulidae,Dicranota,South Fork Pourde,Wood,mg dry mass m-2,0.82,1.97,< 0.01
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Wood,mg dry mass m-2,0.99,1.95,0.02
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Wood,mg dry mass m-2,14.73,28.32,5.19
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Wood,mg dry mass m-2,54.93,111.82,13.32
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Wood,mg dry mass m-2,8.03,21.31,0.74
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Wood,mg dry mass m-2,0.12,0.34,< 0.01
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Wood,mg dry mass m-2,0.16,0.32,< 0.01
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Wood,mg dry mass m-2,0.11,0.34,< 0.01
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Wood,mg dry mass m-2,29.8,65.99,2.35
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Wood,mg dry mass m-2,0.18,0.56,< 0.01
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Wood,mg dry mass m-2,8.84,15.72,3.42
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Wood,mg dry mass m-2,1.44,2.82,0.1
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Wood,mg dry mass m-2,21.12,55.28,2.45
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Wood,mg dry mass m-2,17.46,35.78,3.83
