Supplemental table S6,,,,,,,,
,,,,,,,,
Highest classification,Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates
Ephemeroptera,Heptageniidae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.05,4
Trichoptera,Rhyacophilidae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.3,0.37,4
Diptera,Chironomidae,North St. Vrain high,18-Jul-2013,Pool,mg dry mass m-2 hr-1,0.29,0.21,3
Ephemeroptera,Ameletidae,North St. Vrain high,18-Jul-2013,Pool,mg dry mass m-2 hr-1,0.11,0.19,3
Ephemeroptera,Baetidae,North St. Vrain high,18-Jul-2013,Pool,mg dry mass m-2 hr-1,0.04,0.07,3
Diptera,Ceratopogonidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,< 0.01,< 0.01,4
Diptera,Chironomidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.92,0.69,4
Diptera,Diptera group,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,< 0.01,0.01,4
Diptera,Empididae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.15,4
Diptera,Simuliidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.06,4
Ephemeroptera,Baetidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.19,0.06,4
Ephemeroptera,Ephemeroptera group,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.06,0.11,4
Ephemeroptera,Heptageniidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.04,0.09,4
Trichoptera,Hydroptilidae,North St. Vrain high,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.06,4
Diptera,Chironomidae,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.64,0.37,4
Diptera,Phoridae,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.01,0.02,4
Ephemeroptera,Ameletidae,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.08,0.15,4
Ephemeroptera,Ephemeroptera group,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.07,0.09,4
Plecoptera,Chloroperlidae,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.17,0.33,4
Trichoptera,Rhyacophilidae,North St. Vrain high,4-Aug-2013,Pool,mg dry mass m-2 hr-1,0.03,0.06,4
Diptera,Ceratopogonidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.03,4
Diptera,Chironomidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,1.22,0.68,4
Diptera,Diptera group,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Diptera,Empididae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,1.21,2.31,4
Diptera,Simuliidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.09,4
Diptera,Tipulidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.14,4
Ephemeroptera,Baetidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.15,4
Ephemeroptera,Ephemerellidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.17,0.16,4
Ephemeroptera,Ephemeroptera group,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.04,0.07,4
Plecoptera,Chloroperlidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.28,0.57,4
Plecoptera,Perlidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.28,0.57,4
Trichoptera,Brachycentridae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.13,4
Trichoptera,Hydropsychidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.18,0.35,4
Trichoptera,Hydroptilidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Trichoptera,Rhyacophilidae,North St. Vrain high,4-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.53,0.68,4
Diptera,Ceratopogonidae,North St. Vrain high,2-Sep-2013,Pool,mg dry mass m-2 hr-1,< 0.01,< 0.01,4
Diptera,Chironomidae,North St. Vrain high,2-Sep-2013,Pool,mg dry mass m-2 hr-1,1.09,0.58,4
Diptera,Tipulidae,North St. Vrain high,2-Sep-2013,Pool,mg dry mass m-2 hr-1,0.05,0.1,4
Ephemeroptera,Heptageniidae,North St. Vrain high,2-Sep-2013,Pool,mg dry mass m-2 hr-1,0.04,0.08,4
Trichoptera,Rhyacophilidae,North St. Vrain high,2-Sep-2013,Pool,mg dry mass m-2 hr-1,0.7,1.41,4
Diptera,Chironomidae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,1.29,0.42,4
Diptera,Empididae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.03,4
Diptera,Simuliidae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.1,0.14,4
Ephemeroptera,Baetidae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.22,0.44,4
Ephemeroptera,Ephemeroptera group,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.03,4
Ephemeroptera,Heptageniidae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.1,0.13,4
Trichoptera,Rhyacophilidae,North St. Vrain high,2-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.22,0.29,4
Diptera,Chironomidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,1.51,0.5,4
Diptera,Empididae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.1,0.09,4
Diptera,Phoridae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.01,0.01,4
Ephemeroptera,Baetidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.17,0.12,4
Ephemeroptera,Ephemerellidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.04,0.08,4
Ephemeroptera,Heptageniidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.09,0.11,4
Trichoptera,Brachycentridae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.13,0.26,4
Trichoptera,Hydropsychidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,1.83,3.65,4
Trichoptera,Lepidostomatidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,4.37,6.35,4
Trichoptera,Limnephelidae,North St. Vrain low,23-Jul-2013,Pool,mg dry mass m-2 hr-1,0.3,0.48,4
Diptera,Chironomidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.55,0.29,4
Diptera,Empididae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.16,0.23,4
Diptera,Tipulidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.04,4
Ephemeroptera,Baetidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.21,0.12,4
Ephemeroptera,Heptageniidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.16,0.23,4
Plecoptera,Perlidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,2.91,5.83,4
Trichoptera,Hydropsychidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,4.15,4.06,4
Trichoptera,Hydroptilidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.09,0.12,4
Trichoptera,Lepidostomatidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.7,0.82,4
Trichoptera,Rhyacophilidae,North St. Vrain low,23-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.49,0.27,4
Diptera,Chironomidae,North St. Vrain low,9-Aug-2013,Pool,mg dry mass m-2 hr-1,0.67,0.49,4
Diptera,Simuliidae,North St. Vrain low,9-Aug-2013,Pool,mg dry mass m-2 hr-1,0.01,0.01,4
Ephemeroptera,Heptageniidae,North St. Vrain low,9-Aug-2013,Pool,mg dry mass m-2 hr-1,0.03,0.06,4
Trichoptera,Brachycentridae,North St. Vrain low,9-Aug-2013,Pool,mg dry mass m-2 hr-1,0.18,0.29,4
Trichoptera,Rhyacophilidae,North St. Vrain low,9-Aug-2013,Pool,mg dry mass m-2 hr-1,0.05,0.1,4
Diptera,Chironomidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.18,0.17,4
Diptera,Empididae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.03,4
Diptera,Phoridae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Diptera,Simuliidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.08,0.11,4
Ephemeroptera,Baetidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.04,4
Ephemeroptera,Heptageniidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.16,0.11,4
Trichoptera,Hydroptilidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.02,0.05,4
Trichoptera,Lepidostomatidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.06,0.05,4
Trichoptera,Limnephelidae,North St. Vrain low,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.09,0.18,4
Diptera,Ceratopogonidae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,< 0.01,< 0.01,4
Diptera,Chironomidae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,0.46,0.26,4
Diptera,Empididae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,0.04,0.03,4
Ephemeroptera,Baetidae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,0.61,0.73,4
Ephemeroptera,Heptageniidae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,0.08,0.09,4
Trichoptera,Rhyacophilidae,North St. Vrain low,7-Sep-2013,Pool,mg dry mass m-2 hr-1,0.39,0.47,4
Diptera,Ceratopogonidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,< 0.01,0.01,3
Diptera,Chironomidae,North St. Vrain low,7-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.35,0.28,3
