Supplemental table S5,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Riffle,mg dry mass m-2 d-1,5.86,10.02,1.11
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Riffle,mg dry mass m-2 d-1,2.23,4.09,1.03
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.44,3.38,0.33
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.36,0.56,0.18
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Riffle,mg dry mass m-2 d-1,2.39,4.22,0.81
Ostracoda,N/A,Ostracoda,North St. Vrain high,Riffle,mg dry mass m-2 d-1,2.02,4.66,0.48
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.05,0.1,0.01
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Riffle,mg dry mass m-2 d-1,2.27,3.93,0.9
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.79,1.2,0.37
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.24,1.95,0.66
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.18,0.29,0.09
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Riffle,mg dry mass m-2 d-1,4.51,8.59,1.2
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.53,1.14,0.07
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.8,1.31,0.28
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.07,0.13,0.02
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.27,0.44,0.11
Arachnida ,N/A,Arachnida ,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.02,0.03,< 0.01
Diptera,Chironominae,Chironominae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.02,0.04,< 0.01
Diptera,Chironominae,Stempellinella,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.15,0.28,0.05
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.78,2.08,0.04
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.02,0.04,< 0.01
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.11,0.26,0.03
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.03,0.05,< 0.01
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.62,0.92,0.39
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Simulidae,Simulidae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Tipulidae,Dicranota,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Wood,mg dry mass m-2 d-1,1.57,2.83,0.71
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.24,0.58,0.03
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.07,0.2,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.03,0.05,< 0.01
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Ostracoda,N/A,Ostracoda,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.06,0.13,0.02
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.43,0.58,0.28
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.05,0.12,< 0.01
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Wood,mg dry mass m-2 d-1,0.72,1.29,0.26
Arachnida ,N/A,Arachnida ,North St. Vrain low,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Pool,mg dry mass m-2 d-1,2.3,3.77,1.13
Coleoptera,N/A,Coleoptera group,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.17,0.49,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.44,0.83,0.16
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.46,0.8,0.17
Diptera,Chironominae,Chironominae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,4.52,6.9,2.27
Diptera,Diamesinae,Pagastia,North St. Vrain low,Pool,mg dry mass m-2 d-1,6.67,15.58,1.4
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Pool,mg dry mass m-2 d-1,2.06,3.96,0.53
Diptera,Empidiae,Chelifera,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.42,1.09,0.09
Diptera,Empidiae,Empididae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.08,0.18,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain low,Pool,mg dry mass m-2 d-1,1.34,2.52,0.49
Diptera,Orthocladinae,Complex II,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Pool,mg dry mass m-2 d-1,1.57,2.51,0.68
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Pool,mg dry mass m-2 d-1,4.69,9.46,1.22
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,4.66,6.42,3.04
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.46,0.92,0.06
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.43,0.87,0.12
Diptera,Simulidae,Simulidae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.49,0.96,0.17
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.85,1.69,0.25
Diptera,Tipulidae,Dicranota,North St. Vrain low,Pool,mg dry mass m-2 d-1,1.98,3.37,0.92
Diptera,Tipulidae,Tipulidae group,North St. Vrain low,Pool,mg dry mass m-2 d-1,2.68,4.86,0.8
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.14,0.32,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.63,1.38,0.12
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.24,0.62,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.17,0.4,0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.3,0.51,0.13
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.4,0.68,0.17
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Pool,mg dry mass m-2 d-1,4.37,9.18,0.98
Ostracoda,N/A,Ostracoda,North St. Vrain low,Pool,mg dry mass m-2 d-1,4.4,8.09,1.97
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Pool,mg dry mass m-2 d-1,7.05,12.26,2.58
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Pool,mg dry mass m-2 d-1,1.51,2.42,0.69
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.48,1.15,0.04
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Pool,mg dry mass m-2 d-1,2.46,3.62,1.17
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Pool,mg dry mass m-2 d-1,0.56,1.03,0.19
Arachnida ,N/A,Arachnida ,North St. Vrain low,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.67,0.92,0.41
Coleoptera,N/A,Coleoptera group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.1,0.17,0.03
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.08,0.14,0.03
Diptera,Chironominae,Chironominae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.45,0.61,0.3
Diptera,Diamesinae,Diamesinae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Diamesinae,Pagastia,North St. Vrain low,Riffle,mg dry mass m-2 d-1,2.07,3.12,1.33
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.07,0.15,0.01
Diptera,Empidiae,Empididae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.05,0.1,0.01
Diptera,Orthocladinae,Brillia,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.1,0.21,0.03
Diptera,Orthocladinae,Complex II,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.22,0.35,0.12
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.14,0.34,< 0.01
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.95,1.38,0.57
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.03,0.06,< 0.01
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.28,0.48,0.13
Diptera,Simulidae,Simulidae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.01,0.01,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.02,0.03,0.01
Diptera,Tipulidae,Dicranota,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.47,0.74,0.26
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Riffle,mg dry mass m-2 d-1,2.83,4.6,1.49
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.28,0.58,0.08
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Riffle,mg dry mass m-2 d-1,1.02,1.59,0.53
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.26,0.54,0.07
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.02,0.03,< 0.01
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.06,0.13,0.02
Ostracoda,N/A,Ostracoda,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.09,0.15,0.05
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Riffle,mg dry mass m-2 d-1,2.36,3.25,1.53
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Riffle,mg dry mass m-2 d-1,1.44,2.74,0.49
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,4.23,8.6,1.33
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.1,0.15,0.05
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Riffle,mg dry mass m-2 d-1,4.96,10.01,1.09
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.1,0.2,0.02
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Riffle,mg dry mass m-2 d-1,0.34,0.59,0.15
Arachnida ,N/A,Arachnida ,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.01,0.01,< 0.01
Diptera,Chironominae,Chironominae group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Diamesinae,Diamesinae group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Diptera,Diamesinae,Pagastia,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.58,1.16,0.09
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.23,0.65,< 0.01
Diptera,Orthocladinae,Complex II,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.1,0.32,0.01
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.02,0.07,< 0.01
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.25,0.33,0.18
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.12,0.2,0.05
Diptera,Simulidae,Simulidae group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.07,0.16,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.02,0.04,0.01
Diptera,Tipulidae,Dicranota,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.52,1.28,0.05
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.03,0.07,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.33,0.75,0.03
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.08,0.15,0.02
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.26,0.51,0.09
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.16,0.56,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Wood,mg dry mass m-2 d-1,0.09,0.16,0.04
Arachnida ,N/A,Arachnida ,South Fork Pourde,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Pool,mg dry mass m-2 d-1,2.2,4.24,0.3
Coleoptera,Elmidae,Narpus,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.04,2.07,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.03,0.06,0.01
Diptera,Ceratopogonidae,Ceratopogonidae,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.12,0.27,0.02
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Pool,mg dry mass m-2 d-1,2.11,3.28,0.97
Diptera,Chironominae,Chironominae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.06,1.63,0.56
Diptera,Chironominae,Microspectra,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.11,2.09,0.32
Diptera,Chironominae,Paratendipes,South Fork Pourde,Pool,mg dry mass m-2 d-1,52.04,118.94,1
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.25,2.57,0.12
Diptera,Chironominae,Polypedilum,South Fork Pourde,Pool,mg dry mass m-2 d-1,21.61,41.79,5.06
Diptera,Diamesinae,Pagastia,South Fork Pourde,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.26,0.71,0.02
Diptera,N/A,Diamesinae/Prodiamesinae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,3.06,4.56,1.5
Diptera,N/A,Diptera group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.93,1.6,0.34
Diptera,Orthocladinae,Complex II,South Fork Pourde,Pool,mg dry mass m-2 d-1,2.02,5.42,0.12
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Pool,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.04,0.08,0.01
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,2.01,3.73,0.68
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.82,1.52,0.32
Diptera,Simulidae,Simulium,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.1,0.27,< 0.01
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.46,0.75,0.21
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.26,1.81,0.73
Diptera,Tipulidae,Dicranota,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.1,0.23,0.02
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.15,2.13,0.31
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,2.29,5.86,0.25
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.07,0.13,0.02
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.04,0.13,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.08,0.23,< 0.01
Isopoda,Asellidae,Asellus,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.04,0.08,< 0.01
Mollusca,Gastropoda,Gastropoda,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.05,0.16,< 0.01
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Pool,mg dry mass m-2 d-1,7.97,15.1,3.21
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Pool,mg dry mass m-2 d-1,1.08,2.29,0.21
Ostracoda,N/A,Ostracoda,South Fork Pourde,Pool,mg dry mass m-2 d-1,3.34,6.09,1.12
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.77,2.16,0.04
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.02,0.04,0.01
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.03,0.06,0.01
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.66,1.14,0.2
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.92,2.53,0.07
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Pool,mg dry mass m-2 d-1,0.01,0.04,< 0.01
Arachnida ,N/A,Arachnida ,South Fork Pourde,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Riffle,mg dry mass m-2 d-1,1.88,2.85,1
Coleoptera,Elmidae,Narpus,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.55,1.13,0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.07,0.14,0.01
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.08,0.11,0.06
Diptera,Chironomidae,Chironomidae group 2,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.39,0.76,0.05
Diptera,Chironominae,Chironominae group,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.05,0.07,0.02
Diptera,Chironominae,Microspectra,South Fork Pourde,Riffle,mg dry mass m-2 d-1,0.05,0.08,0.02
Diptera,Chironominae,Paratendipes,South Fork Pourde,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
