TAXA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
134,0.0025,0.015157166,0.043496596,0.091895868,0.164157988,0.263714045,0.393726742,0.557152361,0.756781546,0.995267926,1.275149163,1.598862985,1.968759762,2.38711258,2.85612547,3.377940252,3.954642271,4.588265305,5.280795761,6.034176337,6.850309207,7.731058843,8.678254503,9.693692457,10.77913798,11.93632715,13.16696847,14.47274433,15.85531239,17.31630677,18.85733918,20.48,22.18585919,23.97646722,25.85335585
41,0.0025,0.015157166,0.043496596,0.091895868,0.164157988,0.263714045,0.393726742,0.557152361,0.756781546,0.995267926,1.275149163,1.598862985,1.968759762,2.38711258,2.85612547,3.377940252,3.954642271,4.588265305,5.280795761,6.034176337,6.850309207,7.731058843,8.678254503,9.693692457,10.77913798,11.93632715,13.16696847,14.47274433,15.85531239,17.31630677,18.85733918,20.48,22.18585919,23.97646722,25.85335585
42,0.0051,0.036114274,0.113490785,0.255733482,0.48024347,0.803654364,1.242015573,1.810907633,2.525521225,3.400714523,4.451056622,5.690861483,7.13421516,8.794998077,10.68690359,12.82345367,15.21801227,17.88379696,20.83388896,24.0812421,27.63869061,31.5189562,35.7346543,40.29829973,45.22231186,50.51901925,56.20066392,62.27940526,68.76732361,75.67642359,83.01863712,90.80582634,99.04978617,107.7622468,116.9548761
43,0.0051,0.036114274,0.113490785,0.255733482,0.48024347,0.803654364,1.242015573,1.810907633,2.525521225,3.400714523,4.451056622,5.690861483,7.13421516,8.794998077,10.68690359,12.82345367,15.21801227,17.88379696,20.83388896,24.0812421,27.63869061,31.5189562,35.7346543,40.29829973,45.22231186,50.51901925,56.20066392,62.27940526,68.76732361,75.67642359,83.01863712,90.80582634,99.04978617,107.7622468,116.9548761
167,0.0051,0.036114274,0.113490785,0.255733482,0.48024347,0.803654364,1.242015573,1.810907633,2.525521225,3.400714523,4.451056622,5.690861483,7.13421516,8.794998077,10.68690359,12.82345367,15.21801227,17.88379696,20.83388896,24.0812421,27.63869061,31.5189562,35.7346543,40.29829973,45.22231186,50.51901925,56.20066392,62.27940526,68.76732361,75.67642359,83.01863712,90.80582634,99.04978617,107.7622468,116.9548761
139,0.0051,0.036114274,0.113490785,0.255733482,0.48024347,0.803654364,1.242015573,1.810907633,2.525521225,3.400714523,4.451056622,5.690861483,7.13421516,8.794998077,10.68690359,12.82345367,15.21801227,17.88379696,20.83388896,24.0812421,27.63869061,31.5189562,35.7346543,40.29829973,45.22231186,50.51901925,56.20066392,62.27940526,68.76732361,75.67642359,83.01863712,90.80582634,99.04978617,107.7622468,116.9548761
44,0.0025,0.015157166,0.043496596,0.091895868,0.164157988,0.263714045,0.393726742,0.557152361,0.756781546,0.995267926,1.275149163,1.598862985,1.968759762,2.38711258,2.85612547,3.377940252,3.954642271,4.588265305,5.280795761,6.034176337,6.850309207,7.731058843,8.678254503,9.693692457,10.77913798,11.93632715,13.16696847,14.47274433,15.85531239,17.31630677,18.85733918,20.48,22.18585919,23.97646722,25.85335585
45,0.0079,0.049551357,0.14505119,0.310802146,0.561304641,0.909808005,1.368648101,1.949451643,2.66327185,3.520684362,4.531858218,5.706610249,7.054447919,8.584603831,10.30606403,12.22759161,14.35774659,16.70490297,19.27726334,22.08287173,25.12962472,28.4252814,31.97747212,35.79370633,39.88137969,44.2477804,48.90009497,53.84541349,59.09073442,64.642969,70.50894528,76.69541184,83.20904125,90.05643327,97.24411781
46,0.0052,0.037027151,0.116737594,0.263655745,0.49600539,0.831242394,1.286236984,1.877388645,2.620704958,3.53185889,4.62623221,5.91894947,7.424905274,9.158786613,11.13509148,13.3681446,15.87211089,18.6610071,21.74871196,25.14897513,28.87542508,32.94157621,37.36083511,42.14650632,47.31179748,52.86982405,58.83361358,65.21610968,72.03017563,79.2885977,87.00408832,95.18928884,103.8567723,113.0190459,122.6885532
47,0.0052,0.037027151,0.116737594,0.263655745,0.49600539,0.831242394,1.286236984,1.877388645,2.620704958,3.53185889,4.62623221,5.91894947,7.424905274,9.158786613,11.13509148,13.3681446,15.87211089,18.6610071,21.74871196,25.14897513,28.87542508,32.94157621,37.36083511,42.14650632,47.31179748,52.86982405,58.83361358,65.21610968,72.03017563,79.2885977,87.00408832,95.18928884,103.8567723,113.0190459,122.6885532
48,0.0052,0.037027151,0.116737594,0.263655745,0.49600539,0.831242394,1.286236984,1.877388645,2.620704958,3.53185889,4.62623221,5.91894947,7.424905274,9.158786613,11.13509148,13.3681446,15.87211089,18.6610071,21.74871196,25.14897513,28.87542508,32.94157621,37.36083511,42.14650632,47.31179748,52.86982405,58.83361358,65.21610968,72.03017563,79.2885977,87.00408832,95.18928884,103.8567723,113.0190459,122.6885532
49,0.0052,0.037027151,0.116737594,0.263655745,0.49600539,0.831242394,1.286236984,1.877388645,2.620704958,3.53185889,4.62623221,5.91894947,7.424905274,9.158786613,11.13509148,13.3681446,15.87211089,18.6610071,21.74871196,25.14897513,28.87542508,32.94157621,37.36083511,42.14650632,47.31179748,52.86982405,58.83361358,65.21610968,72.03017563,79.2885977,87.00408832,95.18928884,103.8567723,113.0190459,122.6885532
